"device","lat","lng","region","service","sub_service","sum_amount","count_amount","hour","minute","dofweek","day","month"
"VDC32588","0 "," 0","Offline","AIS","Top up TELCO",20.0,1,10,52,5,25,11
"VDC32593","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,7,35,5,2,12
"VDC32593","0 "," 0","Offline","TRUE","Top up TELCO",10.0,1,13,53,3,30,11
"VDC32607","0 "," 0","Offline","KTBDEPOSIT","Transfer to Bank",100.0,1,17,13,2,3,5
"VDC32614","13.7944216666666648 "," 100.731340000000003","ภาคกลาง","AIS","Top up TELCO",30.0,1,7,29,0,3,7
"VDC32614","13.7944216666666648 "," 100.731340000000003","ภาคกลาง","TRUE","Top up TELCO",100.0,1,7,52,3,29,6
"VDC32642","0 "," 0","Offline","DTAC","Top up TELCO",30.0,1,19,19,4,29,12
"VDC32643","0 "," 0","Offline","AIS","Top up TELCO",50.0,1,9,16,2,8,11
"VDC32651","16.5358616666666656 "," 102.83050999999999","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",180.0,1,6,59,1,26,12
"VDC32659","0 "," 0","Offline","MYCAT","Top up TELCO",10.0,1,19,14,6,17,9
"VDC32665","0 "," 0","Offline","AIS","Top up TELCO",40.0,1,20,29,2,29,11
"VDC32665","0 "," 0","Offline","TMNTOPUP","Top up Wallet",45.0,1,20,31,2,29,11
"VDC32668","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,3,15,6,17,12
"VDC32679","0 "," 0","Offline","TRUE","Top up TELCO",100.0,1,14,24,2,26,7
"VDC32705","13.8768066666666687 "," 100.720425000000006","ภาคกลาง","TRUE","Top up TELCO",200.0,1,19,11,0,13,11
"VDC32722","17.9393650000000022 "," 103.947778333333346","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",10.0,1,11,50,2,15,11
"VDC32725","17.4120516666666667 "," 102.787573333333327","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",45.0,1,7,39,3,9,3
"VDC32730","16.0514299999999999 "," 103.128976666666674","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",45.0,1,2,29,6,17,9
"VDC32733","15.8446016666666658 "," 103.554963333333333","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",50.0,1,16,20,6,31,12
"VDC32737","18.3564749999999997 "," 103.652651666666685","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",40.0,1,16,49,2,22,3
"VDC32739","16.1896933333333308 "," 103.299639999999997","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",45.0,1,6,41,4,5,5
"VDC32755","0 "," 0","Offline","TMNTOPUP","Top up Wallet",180.0,1,16,59,4,15,12
"VDC32771","14.328758333333333 "," 100.838118333333327","ภาคกลาง","TMNTOPUP","Top up Wallet",90.0,1,12,22,6,22,1
"VDC32781","12.9856483333333319 "," 101.144313333333315","ภาคใต้","AIS","Top up TELCO",20.0,1,18,9,2,22,11
"VDC32782","12.8647349999999996 "," 100.900849999999991","ภาคใต้","TMNTOPUP","Top up Wallet",20.0,1,15,0,3,30,11
"VDC32790","13.5932900000000014 "," 100.33771999999999","ภาคกลาง","TMNTOPUP","Top up Wallet",20.0,1,13,6,2,25,10
"VDC328","13.7127911999999998 "," 100.418793199999996","ภาคกลาง","AIRPAYWALLET","Top up Wallet",45.0,1,17,37,2,8,2
"VDC328","13.7127911999999998 "," 100.418793199999996","ภาคกลาง","TMNTOPUP","Top up Wallet",180.0,1,0,21,1,4,7
"VDC32893","14.6839566666666652 "," 100.418053333333319","ภาคกลาง","DTAC","Top up TELCO",100.0,1,17,53,3,27,7
"VDC32893","14.6839566666666652 "," 100.418053333333319","ภาคกลาง","TMNTOPUP","Top up Wallet",45.0,1,15,36,2,20,12
"VDC33001","0 "," 0","Offline","AIS","Top up TELCO",10.0,1,21,10,6,12,11
"VDC33021","0 "," 0","Offline","AIS","Top up TELCO",100.0,1,18,8,6,29,10
