"entity","device","lat","lng"
"VDC","AJT100986","0 "," 0"
"VDC","AJT100987","0 "," 0"
"VDC","AJT100988","0 "," 0"
"VDC","AJT100989","0 "," 0"
"VDC","AJT100990","0 "," 0"
"VDC","AJT100991","0 "," 0"
"VDC","AJT100992","0 "," 0"
"VDC","AJT100993","0 "," 0"
"VDC","AJT100994","0 "," 0"
"VDC","AJT100995","0 "," 0"
"VDC","AJT100996","0 "," 0"
"VDC","AJT100997","0 "," 0"
"VDC","AJT100998","0 "," 0"
"VDC","AJT100999","0 "," 0"
"VDC","AJT101000","0 "," 0"
"VDC","AJT101001","0 "," 0"
"VDC","AJT101002","0 "," 0"
"VDC","AJT101006","0 "," 0"
"VDC","AJT101007","0 "," 0"
"VDC","AJT101008","0 "," 0"
"VDC","AJT101009","0 "," 0"
"VDC","AJT101010","0 "," 0"
"VDC","AJT101011","0 "," 0"
"VDC","AJT101012","0 "," 0"
"VDC","AJT101013","0 "," 0"
"VDC","AJT101014","0 "," 0"
"VDC","AJT101015","0 "," 0"
"VDC","AJT101016","0 "," 0"
"VDC","AJT101017","0 "," 0"
"VDC","AJT101018","0 "," 0"
"VDC","AJT101019","0 "," 0"
"VDC","AJT101020","0 "," 0"
"VDC","AJT101021","0 "," 0"
"VDC","AJT101022","0 "," 0"
"VDC","AJT101023","0 "," 0"
"VDC","AJT101024","0 "," 0"
"VDC","AJT101025","0 "," 0"
"VDC","AJT101026","0 "," 0"
"VDC","AJT101027","16.4263149999999989 "," 102.590248000000003"
"VDC","AJT101028","0 "," 0"
"VDC","AJT101029","0 "," 0"
"VDC","AJT101030","0 "," 0"
"VDC","AJT101031","0 "," 0"
"VDC","AJT101032","0 "," 0"
"VDC","AJT101033","0 "," 0"
"VDC","AJT101034","0 "," 0"
"VDC","AJT101036","0 "," 0"
"VDC","AJT101037","0 "," 0"
"VDC","AJT101038","0 "," 0"
"VDC","AJT101040","0 "," 0"
"VDC","AJT101041","0 "," 0"
"VDC","AJT101042","0 "," 0"
"VDC","AJT101043","0 "," 0"
"VDC","AJT101044","0 "," 0"
"VDC","AJT101045","0 "," 0"
"VDC","AJT101046","0 "," 0"
"VDC","AJT101047","0 "," 0"
"VDC","AJT101048","0 "," 0"
"VDC","AJT101051","0 "," 0"
"VDC","AJT101052","0 "," 0"
"VDC","AJT101053","0 "," 0"
"VDC","AJT101054","0 "," 0"
"VDC","AJT101055","0 "," 0"
"VDC","AJT101056","0 "," 0"
"VDC","AJT101057","0 "," 0"
"VDC","AJT101058","0 "," 0"
"VDC","AJT101059","0 "," 0"
"VDC","AJT101060","0 "," 0"
"VDC","AJT101061","0 "," 0"
"VDC","AJT101062","0 "," 0"
"VDC","AJT101063","0 "," 0"
"VDC","AJT101064","0 "," 0"
"VDC","AJT101065","0 "," 0"
"VDC","AJT101066","0 "," 0"
"VDC","AJT101067","0 "," 0"
"VDC","AJT101068","0 "," 0"
"VDC","AJT101069","0 "," 0"
"VDC","AJT101070","0 "," 0"
"VDC","AJT101071","0 "," 0"
"VDC","AJT101072","0 "," 0"
"VDC","AJT101073","0 "," 0"
"VDC","AJT101074","0 "," 0"
"VDC","AJT101075","0 "," 0"
"VDC","AJT101076","0 "," 0"
"VDC","AJT101077","0 "," 0"
"VDC","AJT101078","0 "," 0"
"VDC","AJT101079","0 "," 0"
"VDC","AJT101080","14.736345 "," 98.6381910000000062"
"VDC","AJT101081","0 "," 0"
"VDC","AJT101082","0 "," 0"
"VDC","AJT101083","0 "," 0"
"VDC","AJT101084","0 "," 0"
"VDC","AJT101085","0 "," 0"
"VDC","AJT101086","0 "," 0"
"VDC","AJT101087","0 "," 0"
"VDC","AJT101088","0 "," 0"
"VDC","AJT101089","0 "," 0"
"VDC","AJT101090","0 "," 0"
"VDC","AJT101091","0 "," 0"
"VDC","AJT101092","0 "," 0"
"VDC","AJT101093","0 "," 0"
"VDC","AJT101094","0 "," 0"
"VDC","AJT101095","0 "," 0"
"VDC","AJT101096","0 "," 0"
"VDC","AJT101097","0 "," 0"
"VDC","AJT101098","0 "," 0"
"VDC","AJT101099","0 "," 0"
"VDC","AJT101101","0 "," 0"
"VDC","AJT101102","0 "," 0"
"VDC","AJT101104","0 "," 0"
"VDC","AJT101106","0 "," 0"
"VDC","AJT101107","0 "," 0"
"VDC","AJT101108","0 "," 0"
"VDC","AJT101109","17.6985300000000016 "," 102.878547999999995"
"VDC","AJT101110","15.8471019999999996 "," 102.719543000000002"
"VDC","AJT101111","0 "," 0"
"VDC","AJT101112","0 "," 0"
"VDC","AJT101113","0 "," 0"
"VDC","AJT101114","16.8079110000000007 "," 102.631576999999993"
"VDC","AJT101115","0 "," 0"
"VDC","AJT101116","0 "," 0"
"VDC","AJT101118","0 "," 0"
"VDC","AJT101119","0 "," 0"
"VDC","AJT101120","0 "," 0"
"VDC","AJT101121","0 "," 0"
"VDC","AJT101123","0 "," 0"
"VDC","AJT101124","0 "," 0"
"VDC","AJT101125","0 "," 0"
"VDC","AJT101126","0 "," 0"
"VDC","AJT101127","0 "," 0"
"VDC","AJT101128","0 "," 0"
"VDC","AJT101131","16.3381270000000001 "," 102.606171000000003"
"VDC","AJT101133","0 "," 0"
"VDC","AJT101134","0 "," 0"
"VDC","AJT101136","0 "," 0"
"VDC","AJT101137","0 "," 0"
"VDC","AJT101138","0 "," 0"
"VDC","AJT101139","0 "," 0"
"VDC","AJT101140","0 "," 0"
"VDC","AJT101141","0 "," 0"
"VDC","AJT101142","0 "," 0"
"VDC","AJT101143","0 "," 0"
"VDC","AJT101144","0 "," 0"
"VDC","AJT101145","0 "," 0"
